STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/3/71,,26,22
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/4/71,,23,0
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/5/71,,1,-9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/6/71,,3,-13
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/7/71,,10,-14
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/8/71,,26,2
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/9/71,,33,22
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/10/71,,22,13
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/11/71,,18,1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/12/71,,18,1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/13/71,,22,13
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/14/71,,13,3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/15/71,,11,1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/16/71,,20,4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/17/71,,16,12
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/18/71,,16,3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/19/71,,9,-7
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/20/71,,37,3
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/21/71,,40,24
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/22/71,,37,19
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/23/71,,39,18
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/24/71,,40,22
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/25/71,,44,15
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/26/71,,15,4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/27/71,,19,-1
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/28/71,,19,4
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/29/71,,50,15
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/30/71,,15,9
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1/31/71,,13,4
